月,通算週,月内週,競馬場,レース名,グレード,馬場,距離(m),年齢条件,性別条件,フルゲート,トライアル,対象G1,1着本賞金(万円),収得賞金(万円)
5月,第19週,第3週,東京,甲東特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
5月,第19週,第3週,京都,奥羽S特別(3勝C),COND_3W,ダート,1800,4歳以上,混合,8頭,-,-,1840,600
5月,第19週,第3週,新潟,下鴨S特別(3勝C),COND_3W,芝,1200,4歳以上,混合,8頭,-,-,1840,600
5月,第20週,第4週,東京,天の川S(3勝C),COND_3W,芝,2400,4歳以上,混合,8頭,-,-,1840,600
5月,第20週,第4週,京都,ノベンバーS特別(3勝C),COND_3W,ダート,1400,4歳以上,混合,8頭,-,-,1840,600
5月,第20週,第4週,新潟,釜山S特別(3勝C),COND_3W,芝,2000,4歳以上,混合,8頭,-,-,1840,600
6月,第21週,第1週,東京,佐渡S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
6月,第21週,第1週,阪神,清水S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
6月,第21週,第1週,大井,納屋橋S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
6月,第22週,第2週,東京,博多S(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
6月,第22週,第2週,阪神,市川S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
6月,第22週,第2週,中京,関ヶ原S特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
6月,第23週,第3週,東京,日本海S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
6月,第23週,第3週,阪神,御影S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
6月,第23週,第3週,中京,秋嶺S特別(3勝C),COND_3W,芝,1200,3歳以上,混合,8頭,-,-,1840,600
6月,第24週,第4週,阪神,長篠S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
6月,第24週,第4週,東京,元町S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
6月,第24週,第4週,福島,初富士S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
7月,第25週,第1週,福島,レインボーS(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
7月,第25週,第1週,小倉,逆瀬川S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
7月,第25週,第1週,中京,初春S特別(3勝C),COND_3W,芝,1200,3歳以上,混合,8頭,-,-,1840,600
7月,第26週,第2週,福島,ムーンライトH(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
7月,第26週,第2週,小倉,クリスマスC特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
7月,第26週,第2週,中京,節分S特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
7月,第27週,第3週,新潟,白秋S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
7月,第27週,第3週,小倉,サンタクロースH特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
7月,第27週,第3週,盛岡,飛鳥S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
7月,第28週,第4週,新潟,トルマリンS(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
7月,第28週,第4週,小倉,斑鳩S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
7月,第28週,第4週,盛岡,雲雀S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
8月,第29週,第1週,新潟,魚沼S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
8月,第29週,第1週,小倉,うずしおS特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
8月,第29週,第1週,盛岡,アクアマリンS特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
8月,第30週,第2週,新潟,紅葉S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
8月,第30週,第2週,小倉,潮騒特別特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
8月,第30週,第2週,盛岡,甲南S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
8月,第31週,第3週,新潟,ユートピアS(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
8月,第31週,第3週,小倉,下鴨S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
8月,第31週,第3週,中京,春風S特別(3勝C),COND_3W,芝,1200,3歳以上,混合,8頭,-,-,1840,600
8月,第32週,第4週,新潟,奥羽S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
8月,第32週,第4週,小倉,釜山S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
8月,第32週,第4週,中京,美浦S特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
9月,第33週,第1週,中山,ノベンバーS(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
9月,第33週,第1週,阪神,納屋橋S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
9月,第33週,第1週,盛岡,心斎橋S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
9月,第34週,第2週,中山,清水S(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
9月,第34週,第2週,阪神,関ヶ原S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
9月,第34週,第2週,新潟,サンシャインS特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
9月,第35週,第3週,中山,市川S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
9月,第35週,第3週,東京,秋嶺S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
9月,第35週,第3週,船橋,錦S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
9月,第36週,第4週,中山,御影S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
9月,第36週,第4週,阪神,初富士S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
9月,第36週,第4週,中京,むらさき賞特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
10月,第37週,第1週,東京,元町S(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
10月,第37週,第1週,京都,初春S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
10月,第37週,第1週,盛岡,烏丸S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
10月,第38週,第2週,東京,逆瀬川S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
10月,第38週,第2週,京都,節分S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
10月,第38週,第2週,大井,緑風S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
10月,第39週,第3週,東京,クリスマスC(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
10月,第39週,第3週,京都,飛鳥S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
10月,第39週,第3週,新潟,安土城S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
10月,第40週,第4週,東京,サンタクロースH(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
10月,第40週,第4週,京都,雲雀S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
10月,第40週,第4週,新潟,垂水S特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
11月,第41週,第1週,東京,斑鳩S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
11月,第41週,第1週,京都,アクアマリンS特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
11月,第41週,第1週,大井,夏至S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
11月,第42週,第2週,京都,うずしおS(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
11月,第42週,第2週,東京,甲南S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
11月,第42週,第2週,福島,甲東特別特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
11月,第43週,第3週,京都,潮騒特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
11月,第43週,第3週,東京,春風S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
11月,第43週,第3週,福島,天の川S特別(3勝C),COND_3W,芝,1200,3歳以上,混合,8頭,-,-,1840,600
11月,第44週,第4週,東京,下鴨S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
11月,第44週,第4週,京都,美浦S特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
11月,第44週,第4週,中京,佐渡S特別(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
12月,第45週,第1週,中京,釜山S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
12月,第45週,第1週,中山,心斎橋S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
12月,第45週,第1週,阪神,博多S特別(3勝C),COND_3W,ダート,1200,3歳以上,混合,8頭,-,-,1840,600
12月,第46週,第2週,阪神,納屋橋S(3勝C),COND_3W,芝,2000,3歳以上,混合,8頭,-,-,1840,600
12月,第46週,第2週,中山,サンシャインS特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
12月,第46週,第2週,川崎,日本海S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
12月,第47週,第3週,阪神,関ヶ原S(3勝C),COND_3W,芝,2400,3歳以上,混合,8頭,-,-,1840,600
12月,第47週,第3週,中山,錦S特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
12月,第47週,第3週,中京,長篠S特別(3勝C),COND_3W,芝,1200,3歳以上,混合,8頭,-,-,1840,600
12月,第48週,第4週,中山,秋嶺S(3勝C),COND_3W,芝,1600,3歳以上,混合,8頭,-,-,1840,600
12月,第48週,第4週,阪神,むらさき賞特別(3勝C),COND_3W,ダート,1400,3歳以上,混合,8頭,-,-,1840,600
12月,第48週,第4週,大井,レインボーS特別(3勝C),COND_3W,ダート,1800,3歳以上,混合,8頭,-,-,1840,600
1月,第1週,第1週,中山,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
1月,第1週,第1週,中京,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
1月,第1週,第1週,小倉,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
1月,第1週,第1週,小倉,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
1月,第2週,第2週,中山,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
1月,第2週,第2週,東京,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
1月,第2週,第2週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
1月,第2週,第2週,中山,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
1月,第3週,第3週,中山,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
1月,第3週,第3週,中京,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
1月,第3週,第3週,小倉,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
1月,第3週,第3週,小倉,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
1月,第4週,第4週,中山,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
1月,第4週,第4週,東京,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
1月,第4週,第4週,川崎,2勝クラス(中長距離・ダ2400m),COND_2W,ダート,2400,4歳以上,混合,8頭,-,-,1500,500
1月,第4週,第4週,中山,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
2月,第5週,第1週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
2月,第5週,第1週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
2月,第5週,第1週,小倉,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
2月,第5週,第1週,小倉,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
2月,第6週,第2週,東京,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
2月,第6週,第2週,阪神,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
2月,第6週,第2週,小倉,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
2月,第6週,第2週,東京,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
2月,第7週,第3週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
2月,第7週,第3週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
2月,第7週,第3週,大井,2勝クラス(短距離・ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
2月,第7週,第3週,大井,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
2月,第8週,第4週,中山,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
2月,第8週,第4週,阪神,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
2月,第8週,第4週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
2月,第8週,第4週,中山,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
3月,第9週,第1週,中山,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
3月,第9週,第1週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
3月,第9週,第1週,中京,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
3月,第9週,第1週,中京,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
3月,第10週,第2週,中山,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
3月,第10週,第2週,阪神,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
3月,第10週,第2週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
3月,第10週,第2週,中山,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
3月,第11週,第3週,中山,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
3月,第11週,第3週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
3月,第11週,第3週,大井,2勝クラス(短距離・ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
3月,第11週,第3週,大井,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
3月,第12週,第4週,中山,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
3月,第12週,第4週,阪神,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
3月,第12週,第4週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
3月,第12週,第4週,中山,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
4月,第13週,第1週,阪神,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
4月,第13週,第1週,中山,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
4月,第13週,第1週,福島,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
4月,第13週,第1週,福島,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
4月,第14週,第2週,阪神,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
4月,第14週,第2週,中山,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
4月,第14週,第2週,福島,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
4月,第14週,第2週,阪神,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
4月,第15週,第3週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
4月,第15週,第3週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
4月,第15週,第3週,中山,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,4歳以上,混合,8頭,-,-,1500,500
4月,第15週,第3週,中山,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
4月,第16週,第4週,東京,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
4月,第16週,第4週,京都,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
4月,第16週,第4週,大井,2勝クラス(中長距離・ダ2400m),COND_2W,ダート,2400,4歳以上,混合,8頭,-,-,1500,500
4月,第16週,第4週,東京,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
5月,第17週,第1週,京都,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
5月,第17週,第1週,東京,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
5月,第17週,第1週,船橋,2勝クラス(短距離・ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
5月,第17週,第1週,船橋,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
5月,第18週,第2週,東京,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
5月,第18週,第2週,京都,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
5月,第18週,第2週,新潟,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
5月,第18週,第2週,東京,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
5月,第19週,第3週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,4歳以上,混合,8頭,-,-,1500,500
5月,第19週,第3週,京都,2勝クラス(ダ1800m),COND_2W,ダート,1800,4歳以上,混合,8頭,-,-,1500,500
5月,第19週,第3週,新潟,2勝クラス(短距離・芝1000m),COND_2W,芝,1000,4歳以上,混合,8頭,-,-,1500,500
5月,第19週,第3週,新潟,2勝クラス(ダ1200m),COND_2W,ダート,1200,4歳以上,混合,8頭,-,-,1500,500
5月,第20週,第4週,東京,2勝クラス(芝1800m),COND_2W,芝,1800,4歳以上,混合,8頭,-,-,1500,500
5月,第20週,第4週,京都,2勝クラス(ダ1400m),COND_2W,ダート,1400,4歳以上,混合,8頭,-,-,1500,500
5月,第20週,第4週,新潟,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,4歳以上,混合,8頭,-,-,1500,500
5月,第20週,第4週,東京,2勝クラス(芝1600m),COND_2W,芝,1600,4歳以上,混合,8頭,-,-,1500,500
6月,第21週,第1週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
6月,第21週,第1週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
6月,第21週,第1週,大井,2勝クラス(短距離・ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
6月,第21週,第1週,大井,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
6月,第22週,第2週,東京,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
6月,第22週,第2週,阪神,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
6月,第22週,第2週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,3歳以上,混合,8頭,-,-,1500,500
6月,第22週,第2週,東京,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
6月,第23週,第3週,東京,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
6月,第23週,第3週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
6月,第23週,第3週,中京,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,3歳以上,混合,8頭,-,-,1500,500
6月,第23週,第3週,中京,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
6月,第24週,第4週,阪神,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
6月,第24週,第4週,東京,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
6月,第24週,第4週,福島,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,3歳以上,混合,8頭,-,-,1500,500
6月,第24週,第4週,阪神,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
7月,第25週,第1週,福島,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
7月,第25週,第1週,小倉,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
7月,第25週,第1週,中京,2勝クラス(短距離・芝1200m),COND_2W,芝,1200,3歳以上,混合,8頭,-,-,1500,500
7月,第25週,第1週,中京,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
7月,第26週,第2週,福島,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
7月,第26週,第2週,小倉,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
7月,第26週,第2週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,3歳以上,混合,8頭,-,-,1500,500
7月,第26週,第2週,福島,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
7月,第27週,第3週,新潟,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
7月,第27週,第3週,小倉,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
7月,第27週,第3週,盛岡,2勝クラス(短距離・ダ1000m),COND_2W,ダート,1000,3歳以上,混合,8頭,-,-,1500,500
7月,第27週,第3週,盛岡,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
7月,第28週,第4週,新潟,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
7月,第28週,第4週,小倉,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
7月,第28週,第4週,盛岡,2勝クラス(中長距離・ダ2400m),COND_2W,ダート,2400,3歳以上,混合,8頭,-,-,1500,500
7月,第28週,第4週,新潟,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
8月,第29週,第1週,新潟,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
8月,第29週,第1週,小倉,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
8月,第29週,第1週,盛岡,2勝クラス(短距離・ダ1000m),COND_2W,ダート,1000,3歳以上,混合,8頭,-,-,1500,500
8月,第29週,第1週,盛岡,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
8月,第30週,第2週,新潟,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
8月,第30週,第2週,小倉,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
8月,第30週,第2週,盛岡,2勝クラス(中長距離・ダ2400m),COND_2W,ダート,2400,3歳以上,混合,8頭,-,-,1500,500
8月,第30週,第2週,新潟,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
8月,第31週,第3週,新潟,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
8月,第31週,第3週,小倉,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
8月,第31週,第3週,中京,2勝クラス(短距離・芝1000m),COND_2W,芝,1000,3歳以上,混合,8頭,-,-,1500,500
8月,第31週,第3週,中京,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
8月,第32週,第4週,新潟,2勝クラス(芝1800m),COND_2W,芝,1800,3歳以上,混合,8頭,-,-,1500,500
8月,第32週,第4週,小倉,2勝クラス(ダ1400m),COND_2W,ダート,1400,3歳以上,混合,8頭,-,-,1500,500
8月,第32週,第4週,中京,2勝クラス(中長距離・芝2400m),COND_2W,芝,2400,3歳以上,混合,8頭,-,-,1500,500
8月,第32週,第4週,新潟,2勝クラス(芝1600m),COND_2W,芝,1600,3歳以上,混合,8頭,-,-,1500,500
9月,第33週,第1週,中山,2勝クラス(芝2000m),COND_2W,芝,2000,3歳以上,混合,8頭,-,-,1500,500
9月,第33週,第1週,阪神,2勝クラス(ダ1800m),COND_2W,ダート,1800,3歳以上,混合,8頭,-,-,1500,500
9月,第33週,第1週,盛岡,2勝クラス(短距離・ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
9月,第33週,第1週,盛岡,2勝クラス(ダ1200m),COND_2W,ダート,1200,3歳以上,混合,8頭,-,-,1500,500
